A	B	D	C	c	E	e	white_frequency	black_frequency
0	0	0	0	1	0	1	0.14439403357109815	0.028625552515259944
0	0	0	0	1	1	0	3.099897782857724e-05	0.0
0	0	0	0	1	1	1	0.004359728035634517	0.00021048200378867606
0	0	0	1	0	0	1	3.815258809671045e-05	0.0
0	0	0	1	1	0	1	0.0036435721632358483	0.011506349540447625
0	0	0	1	1	1	1	7.471548502272464e-05	7.016066792955869e-05
0	0	1	0	1	0	0	0.0	0.0
0	0	1	0	1	0	1	0.012188162205728293	0.3215463411211675
0	0	1	0	1	1	0	0.010094538933921307	0.005683014102294254
0	0	1	0	1	1	1	0.0526171880588758	0.05675998035501298
0	0	1	1	0	0	1	0.0768599784119939	0.01024345751771557
0	0	1	1	0	1	0	2.3845367560444033e-06	0.0
0	0	1	1	0	1	1	0.00040378155735685227	0.0
0	0	1	1	1	0	1	0.151081069480632	0.09633059706728408
0	0	1	1	1	1	0	0.00015181550680149367	0.0
0	0	1	1	1	1	1	0.05530297129176715	0.01501438293692556
0	1	0	0	1	0	1	0.026163137287319192	0.010524100189433803
0	1	0	0	1	1	0	1.0332992609525748e-05	0.0
0	1	0	0	1	1	1	0.0008004095044455713	0.00014032133585911737
0	1	0	1	0	0	1	3.974227926740672e-06	0.0
0	1	0	1	1	0	1	0.0006780032843019587	0.0032273907247597
0	1	0	1	1	1	1	1.0332992609525748e-05	0.0
0	1	1	0	1	0	1	0.002393280057483233	0.11366028204588507
0	1	1	0	1	1	0	0.0019799603531022027	0.001122570686872939
0	1	1	0	1	1	1	0.009767062552757876	0.02294253841296569
0	1	1	1	0	0	1	0.015113193959809429	0.00589349610608293
0	1	1	1	0	1	1	6.0408264486458215e-05	7.016066792955869e-05
0	1	1	1	1	0	1	0.02852064929346176	0.03444888795341332
0	1	1	1	1	1	0	2.0665985219051496e-05	0.0
0	1	1	1	1	1	1	0.01051978132208256	0.0047007647512804325
1	0	0	0	1	0	1	0.07797355707706664	0.011506349540447625
1	0	0	0	1	1	0	2.5435058731140302e-05	0.0
1	0	0	0	1	1	1	0.0022740532196810124	0.0
1	0	0	1	0	0	1	2.7819595487184705e-05	0.0
1	0	0	1	1	0	1	0.001992677882467773	0.0030870693889005823
1	0	0	1	1	1	1	5.404949980367314e-05	0.0
1	0	1	0	0	0	0	0.0	0.0
1	0	1	0	1	0	0	0.0	0.0
1	0	1	0	1	0	1	0.010482423579571196	0.13225285904721812
1	0	1	0	1	1	0	0.00826957346996199	0.0025257840454641126
1	0	1	0	1	1	1	0.0427571285726322	0.02252157440538834
1	0	1	1	0	0	1	0.06218951344322338	0.005542692766435137
1	0	1	1	0	1	1	0.0002980670945055504	0.0
1	0	1	1	1	0	1	0.11948357292628761	0.04146495474636919
1	0	1	1	1	1	0	0.0001224062201436127	0.0
1	0	1	1	1	1	1	0.0444596878164479	0.00589349610608293
1	1	0	0	1	0	1	0.005811116074480211	0.0011927313548024978
1	1	0	0	1	1	1	0.000189173249312856	7.016066792955869e-05
1	1	0	1	0	0	1	3.974227926740672e-06	0.0
1	1	0	1	1	0	1	0.00014148251419196793	0.0004911246755069108
1	1	1	0	1	0	1	0.0008131270338111415	0.02041675436750158
1	1	1	0	1	1	0	0.0004220630058198594	7.016066792955869e-05
1	1	1	0	1	1	1	0.002341615094435604	0.0035080333964779345
1	1	1	1	0	0	1	0.0034679112888739106	0.0004911246755069108
1	1	1	1	0	1	1	8.743301438829478e-06	0.0
1	1	1	1	1	0	1	0.006729957571142654	0.005402371430576019
1	1	1	1	1	1	0	7.1536102681332095e-06	0.0
1	1	1	1	1	1	1	0.0023694346899227887	0.0008419280151547042
